Taxa,TP10,TP90,TN10,TN90,TN_TP10,TN_TP90,TEMP10,TEMP90,BioVol_mm3,Organism,Movement,Trophic,N_fixation,Silica
T.Cylindrospermopsis.raciborskii,0.03,0.04,0.48,0.78,40.88,48.9,17.05,24.8,9.83E-08,Filamentous,Buoyancy,Photoautotrophic,N_fixing,Non_silica
T.Dolichospermum,0.01,0.03,0.32,0.86,26.78,84.14,17.9,30.2,9.24E-08,Filamentous,Buoyancy,Photoautotrophic,N_fixing,Non_silica
T.Heterocapsa,0.03,0.11,0.4,0.45,27.49,32.02,22.1,23.6,3.26E-06,Individual,Flagellar,Mixotrophic,Non_N_fixing,Non_silica
T.Microcystis,0.02,0.04,0.47,0.92,41.27,54.11,21.3,24,2.43E-08,Colonial,Buoyancy,Photoautotrophic,Non_N_fixing,Non_silica
T.Microcystis.aeruginosa,0.01,0.04,0.34,0.55,31.38,37.48,22.9,26.1,2.47E-08,Colonial,Buoyancy,Photoautotrophic,Non_N_fixing,Non_silica
T.Oscillatoria,0.05,0.09,0.77,3.61,17.06,175.83,10.2,27.1,4.98E-07,Filamentous,Buoyancy,Photoautotrophic,N_fixing,Non_silica
T.Phormidium,0.01,0.1,0.4,3.69,16.32,161.84,11.9,28.35,6.56E-09,Filamentous,Buoyancy,Photoautotrophic,N_fixing,Non_silica
T.Planktothrix,0.03,0.07,0.63,3.92,31.7,37.83,10.3,30.3,3.45E-07,Filamentous,Buoyancy,Photoautotrophic,N_fixing,Non_silica
T.Prorocentrum,0.02,0.09,0.36,0.44,23.66,34.19,15.8,23.9,3.48E-06,Individual,Flagellar,Photoautotrophic,Non_N_fixing,Non_silica
T.Prorocentrum.minimum,0.02,0.03,0.42,0.52,34.79,42.16,12.8,23.7,1.91E-06,Individual,Flagellar,Mixotrophic,Non_N_fixing,Non_silica
T.Pseudo.nitzschia.seriata.complex,0.02,0.04,0.36,0.42,20.7,32.69,22.1,28.35,3.77E-06,Colonial,Mucilage,Photoautotrophic,Non_N_fixing,Silica
T.Pseudonitzshia.cf,0.02,0.03,0.33,0.45,24.1,37.59,18.6,25.91,4.22E-07,Colonial,Mucilage,Photoautotrophic,Non_N_fixing,Silica
Tabellaria,0.01,0.02,0.38,0.86,57.19,155,11.8,19.3,2.41E-07,Colonial,Passively,Photoautotrophic,Non_N_fixing,Silica
Tetraedron,0.01,0.04,0.33,1.09,33.21,117.95,21,27,9.09E-08,Colonial,Passively,Photoautotrophic,Non_N_fixing,Non_silica
Tetrastrum,0.03,0.03,0.33,1.3,34.52,44.29,22.7,27.76,1.69E-07,Colonial,Passively,Photoautotrophic,Non_N_fixing,Non_silica
Thalassionema,0.02,0.04,0.39,0.44,20.86,37.77,9.1,28.4,7.57E-07,Colonial,Mucilage,Photoautotrophic,Non_N_fixing,Silica
Thalassiosira,0.03,0.03,0.3,0.4,40.21,45.11,12.1,22.72,1.54E-07,Colonial,Passively,Mixotrophic,Non_N_fixing,Silica
Thalassiosira.sp1,0.02,0.06,0.44,0.54,26.09,43.54,25.6,28,3.45E-08,Colonial,Passively,Mixotrophic,Non_N_fixing,Silica
Trachelomonas,0.02,0.09,1.35,3.53,26.55,68.44,19.3,21.6,1.02E-06,Individual,Flagellar,Photoautotrophic,Non_N_fixing,Silica
Treubaria,0.01,0.03,0.55,2,18.52,79.08,21.2,26.2,3.76E-08,Colonial,Passively,Photoautotrophic,Non_N_fixing,Non_silica
